N,P,K,temperature,humidity,ph,rainfall,label
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice
82,40,40,23.83067496,84.81360127,6.271478837999999,298.5601175,rice
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice
76,49,42,24.958779,84.47963372,5.206373153,196.95600080000003,rice
74,39,38,23.24113501,84.59201843,7.782051312999999,233.0453455,rice
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice
60,36,43,23.43121862,83.06310136,5.286203711000001,219.9048349,rice
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice
65,60,43,21.97199397,81.89918197,5.658169482000001,227.3637009,rice
95,52,36,26.22916897,83.83625819,5.543360237999999,286.5083725,rice
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice
91,36,45,24.44345477,82.45432595,5.950647577000001,267.97619480000003,rice
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice
70,36,42,21.84106875,80.72886384,6.9462098810000015,202.3838319,rice
76,47,42,20.08369642,83.29114712,5.739175027000001,263.6372176,rice
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice
99,54,37,21.14347496,80.33502926,5.5948196260000005,198.6730942,rice
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice
91,56,37,23.43191632,80.56887849,6.363472207999999,269.5039162,rice
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice
67,45,38,22.72791041,82.17068809999998,7.300410836,260.8875056,rice
79,42,37,24.87300744,82.84022551,6.587918707999999,295.6094492000001,rice
78,43,42,21.32376327,83.00320459,7.283736617000001,192.3197536,rice
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice
81,41,38,22.67846116,83.72874389,7.5240800760000015,200.9133156,rice
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice
67,43,39,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice
66,60,38,22.08576562,83.47038318,6.372576327000001,231.7364957,rice
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice
84,50,44,25.48591986,81.40633547,5.9353444060000005,182.6549356,rice
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice
91,50,40,20.82477109,84.1341879,6.462391607000001,230.22422230000004,rice
93,53,38,26.92995077,81.91411159,7.069172227,290.67937830000005,rice
90,44,38,23.83509503,83.88387074,7.473134377,241.20135130000003,rice
81,45,35,26.52872817,80.12267476,6.158376967000001,218.9163567,rice
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice
60,51,36,22.69657794,82.81088865,6.028321557999999,256.9964761,rice
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice
93,47,37,21.53346343,82.14004101,6.500343222000001,295.9248796,rice
60,55,45,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,rice
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice
60,48,39,24.28209415,80.30025587,7.0422990689999985,231.0863347,rice
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice
77,38,36,21.8652524,80.1923008,5.953933276,224.55501690000003,rice
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,rice
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice
97,59,43,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,rice
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice
92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,rice
85,37,39,24.52783742,82.73685569,6.364134967999999,224.67572310000003,rice
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice
99,57,35,26.75754171,81.17734011,5.960370061,272.29990560000005,rice
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice
60,43,44,21.01944696,82.95221726,7.416245107000001,298.40184710000005,rice
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice
82,40,40,23.83067496,84.81360127,6.271478837999999,298.5601175,rice
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice
76,49,42,24.958779,84.47963372,5.206373153,196.95600080000003,rice
74,39,38,23.24113501,84.59201843,7.782051312999999,233.0453455,rice
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice
60,36,43,23.43121862,83.06310136,5.286203711000001,219.9048349,rice
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice
65,60,43,21.97199397,81.89918197,5.658169482000001,227.3637009,rice
95,52,36,26.22916897,83.83625819,5.543360237999999,286.5083725,rice
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice
91,36,45,24.44345477,82.45432595,5.950647577000001,267.97619480000003,rice
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice
70,36,42,21.84106875,80.72886384,6.9462098810000015,202.3838319,rice
76,47,42,20.08369642,83.29114712,5.739175027000001,263.6372176,rice
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice
99,54,37,21.14347496,80.33502926,5.5948196260000005,198.6730942,rice
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice
91,56,37,23.43191632,80.56887849,6.363472207999999,269.5039162,rice
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice
67,45,38,22.72791041,82.17068809999998,7.300410836,260.8875056,rice
79,42,37,24.87300744,82.84022551,6.587918707999999,295.6094492000001,rice
78,43,42,21.32376327,83.00320459,7.283736617000001,192.3197536,rice
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice
81,41,38,22.67846116,83.72874389,7.5240800760000015,200.9133156,rice
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice
67,43,39,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice
66,60,38,22.08576562,83.47038318,6.372576327000001,231.7364957,rice
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice
84,50,44,25.48591986,81.40633547,5.9353444060000005,182.6549356,rice
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice
91,50,40,20.82477109,84.1341879,6.462391607000001,230.22422230000004,rice
93,53,38,26.92995077,81.91411159,7.069172227,290.67937830000005,rice
90,44,38,23.83509503,83.88387074,7.473134377,241.20135130000003,rice
81,45,35,26.52872817,80.12267476,6.158376967000001,218.9163567,rice
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice
60,51,36,22.69657794,82.81088865,6.028321557999999,256.9964761,rice
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice
93,47,37,21.53346343,82.14004101,6.500343222000001,295.9248796,rice
60,55,45,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,rice
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice
71,54,16,22.61359953,63.69070564,5.7499144210000015,87.75953857,maize
61,44,17,26.10018422,71.57476937,6.931756557999999,102.2662445,maize
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize
89,60,19,25.19192419,66.69029010000001,5.913664501,78.06639649,maize
76,44,17,20.41683147,62.55424820000001,5.855442401,65.27798457,maize
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize
90,49,21,24.84016732,68.3584573,6.4725232870000005,74.05474936,maize
62,52,16,22.27526694,58.84015925,6.9670577620000005,63.87020584,maize
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize
66,54,21,25.19008683,60.200168700000006,5.919045532,72.12375573,maize
63,58,22,18.25405352,55.28220433,6.204747652999999,63.72358154,maize
70,47,17,24.612911800000006,70.4162444,6.600827017,104.1626147,maize
61,41,17,25.1420613,65.26185135,6.021902237000001,76.68456006,maize
66,53,19,23.09348056,60.11593810000001,6.033550195,65.49730729,maize
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize
77,57,21,24.9321581,73.80435276,6.550563822999999,79.74078719,maize
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize
83,45,21,18.83344471,58.75082029,5.716222912,79.75328959999999,maize
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,maize
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize
87,54,20,25.61707368,63.4711755,6.576418207000001,108.8303762,maize
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,maize
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize
64,35,23,23.02038334,61.89472002,5.680361037999999,63.03843397,maize
60,46,22,24.89364635,65.61418761,6.625404347999999,87.9298085,maize
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,maize
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,maize
98,35,18,23.79746068,74.82913698,6.252797547999999,91.76337172,maize
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,maize
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,maize
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,maize
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,maize
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,maize
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,maize
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize
99,36,20,20.57981887,65.34583901,6.671085817000001,78.34604471,maize
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,maize
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,maize
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize
66,44,20,19.0781471,69.02298571,6.740000687999999,80.72515943,maize
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize
79,45,20,23.80546189,59.24537979,5.715208817000001,89.96220140000001,maize
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,maize
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,maize
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,maize
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize
81,45,23,19.32666088,68.03449300000001,6.192360002999999,84.22969177,maize
73,45,21,24.60532218,73.58868502,6.636803222999999,96.59195302,maize
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,maize
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,maize
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,maize
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,maize
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,maize
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,maize
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,maize
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,maize
63,42,21,23.26237612,72.33125523,5.798423907999999,67.10225139,maize
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize
1,54,16,22.61359953,63.69070564,5.7499144210000015,87.75953857,maize
76,48,17,23.14552983,71.49445537,6.668698339,68.26782814,maize
81,49,21,18.74345581,63.06381874,6.452041599,67.2489607,maize
99,36,16,19.77992821,62.11975592,6.492839002,94.46077581,maize
67,60,20,24.30947053,63.29369875,5.7787301310000005,80.07968239,maize
63,35,25,22.12974438,59.87014949,5.917510321,101.7451677,maize
74,56,16,18.63157291,66.59736978,6.823612106,63.64698044,maize
83,45,25,19.07399104,57.49186533,6.59742415,70.16773911,maize
96,46,20,22.45495602,72.03477767,6.749617235,94.33001369,maize
67,35,15,25.70136694,71.0958681,6.385536014,106.1113589,maize
69,51,16,20.77633534,58.27331243,6.394831755,91.97291859,maize
86,37,22,26.5083563,63.80226088,5.800468059,81.90301059,maize
77,58,15,25.1174561,67.78608933,6.500860197,94.81920712,maize
92,60,18,18.6560732,71.70123965,5.894010452999999,101.2495771,maize
71,60,17,26.20883284,59.1090617,5.705317071,76.26220512,maize
81,45,22,19.14193545,68.13339063,6.406686015,104.4905092,maize
90,52,23,26.01036311,69.53762574,6.838292071,90.11960752,maize
60,57,18,18.97513427,61.49041353,5.712971868,92.14293444,maize
86,36,25,26.7840017,72.02514842,6.735719204,102.0368394,maize
79,59,16,20.00901432,63.57995116,6.429466647,85.38075573,maize
91,55,20,19.44755691,71.66245768,6.180147708,81.93258256,maize
92,44,25,19.2383313,61.12532449,5.674604257000001,73.1706017,maize
77,36,24,24.89168542,57.72623197,6.433687771,64.19105137,maize
67,51,23,23.00253759,60.74024552,5.701071514,78.96708615,maize
98,35,19,25.00952635,75.42886023,6.277074687,93.04068136,maize
99,38,16,21.56815068,69.0112566,5.761317664,89.20968647,maize
63,43,23,19.66193622,66.20172727,6.217765485,68.20628729,maize
63,42,17,22.62358545,70.48673694,6.583272209,64.84983068,maize
60,38,19,17.97232606,63.47236474,6.194980105,84.64360549,maize
81,49,16,17.82043353,58.81879074,5.969420054,85.44215633,maize
75,53,21,19.90306376,58.01765211,6.721236316,79.23630528,maize
60,54,20,18.82825392,63.04027445,6.470209224,69.47573432,maize
71,52,25,24.23502144,55.28512677,6.383493067,89.71648952,maize
63,43,18,21.0515097,63.31266923,6.067380787,84.8242149,maize
90,52,22,25.17557925,68.25568453,6.587007508,105.8546903,maize
91,55,17,17.92426422,72.15311292,6.136063624,105.6746729,maize
86,37,20,26.89225272,59.25643575,5.992107405,98.31522369,maize
86,36,18,19.59992498,58.74011268,6.4454187460000005,99.97945873,maize
94,54,22,23.32043498,61.51742322,5.916596157000001,96.21919511,maize
88,38,23,25.44753016,64.20931837,6.612936681,88.27301062,maize
86,37,21,26.26060937,63.84159463,6.34705484,81.07369242,maize
76,39,24,24.89977384,56.78438352,6.741575845,99.32534657,maize
76,51,15,25.93440802,71.91547224,6.217166408,107.0703335,maize
91,55,25,19.83267372,70.27521114,5.669227517,89.65586961,maize
77,36,18,25.25765424,57.28212043,6.947832299,63.58812629,maize
60,57,20,18.90801039,61.30049811,6.174100292,106.2897452,maize
76,48,23,22.30767131,70.11231539,5.881720647,106.6592757,maize
60,54,24,19.55403891,62.06791433,6.422840904,98.61570839,maize
63,35,19,24.13315853,64.78114023,5.927286147,109.7031572,maize
67,51,20,23.43322362,60.82973009,5.757116057,109.6402597,maize
77,36,23,24.82643216,57.63143706,5.581733439,63.3173195,maize
86,37,22,27.39483294,63.72704136,6.660248733,100.8947852,maize
79,59,17,19.85039468,64.02325463,6.122525284,91.25139929,maize
92,60,19,19.50800129,72.38353641,6.469999032,64.93731543,maize
87,48,16,18.84967251,61.28214277,6.218764699,91.32803633,maize
60,57,22,18.93531506,60.5713344,6.619635288,107.2767132,maize
79,59,19,19.55019491,62.1250958,6.667202899,68.39030119,maize
91,55,23,19.68680968,71.99996694,6.476356859,95.60915918,maize
76,51,18,26.34493807,72.12907054,6.34131711,105.1672857,maize
86,37,17,20.26938852,59.03277704,6.111808086,91.83773222,maize
94,54,24,23.00698379,61.98689416,6.78955666,66.14449594,maize
88,38,19,24.85246327,63.92413965,6.386086004,71.74691651,maize
86,36,20,28.28924091,64.10291145,6.103604896,98.70392758,maize
77,36,16,25.93667852,57.36724171,5.596486479,65.77673429,maize
67,51,18,22.53910074,60.57842107,6.581690777999999,92.67037062,maize
76,48,25,23.09416445,70.52620605,5.619688553,99.61788882,maize
81,49,20,17.47137415,59.18494423,6.592064937,97.4725649,maize
91,55,24,19.505044,70.07716682,6.362844812999999,93.58614326,maize
86,37,19,20.00403654,60.6350367,6.289414229,108.540303,maize
94,54,23,22.23423831,60.8498439,5.976545443,80.69969204,maize
88,38,20,24.3203963,65.00358621,5.892202894,84.85845199,maize
86,36,21,29.02134615,63.00108404,6.116255226,94.19447294,maize
77,36,17,24.91452954,57.53934662,6.189949021,75.94404413,maize
67,51,19,22.91992852,59.81983171,5.798651308,78.08384042,maize
76,48,24,23.51401901,71.44012038,6.764822628,87.42367873,maize
81,49,25,17.15670149,59.70092033,6.027124207,100.2987994,maize
91,55,20,19.4582932,70.514235,5.778498034,65.6837383,maize
86,37,23,20.44149341,60.76243824,6.822229712999999,106.0787775,maize
94,54,16,21.62531962,59.99908417,6.079488456,93.0805703,maize
88,38,17,24.14742809,64.3619922,6.442931258,68.99292411,maize
86,36,18,29.01030909,63.72588103,6.492829473,66.27930382,maize
77,36,19,24.90573238,57.86582245,6.668253463,88.6751553,maize
67,51,21,23.40645362,60.47785494,5.989562768,94.33782621,maize
76,48,16,24.57912076,72.0732137,5.884043931,109.6955271,maize
81,49,17,16.89414427,59.50668129,5.954279526,90.30612118,maize
91,55,18,19.12528846,70.80273204,5.679241841,91.62512079,maize
86,37,25,20.55110547,63.54030949,5.907943243,68.18579989,maize
94,54,20,22.52197008,59.25354811,6.357046049,70.87144139,maize
88,38,22,23.97622698,64.39283042,6.54040754,98.74059467,maize
86,36,19,28.48604524,63.97597264,6.181435293,70.87435854,maize
77,36,18,25.4484677,57.39985544,6.173292215,109.7510126,maize
67,51,24,23.33609249,59.46646816,5.983360338,64.20253258,maize
76,48,17,23.95133958,71.47965521,6.778048193,81.69477802,maize
81,49,20,17.86863234,59.14739008,6.365914444,100.5264433,maize
91,55,15,19.62377253,70.70162494,5.724286289,70.0700489,maize
86,37,23,20.42952277,63.70204542,5.799257586,92.3723628,maize
94,54,19,22.92961486,58.75000771,6.565722935,64.63618331,maize
88,38,21,24.60804543,65.32543133,6.446900944,93.10243577,maize
86,36,20,27.40950441,63.71714447,6.282029089,66.3168613,maize
77,36,16,24.7841962,57.53684749,6.257678261,78.79554728,maize
67,51,17,22.49307802,60.77797042,6.132996052,105.6196664,maize
76,48,20,24.28490165,71.47795643,6.795454144,96.0149996,maize
81,49,23,17.25080007,59.67990405,6.260369834,65.42195044,maize
91,55,24,19.60148253,70.93564963,6.197062377,90.49509737,maize
86,37,19,20.00951815,60.80726135,6.20051896,97.34811118,maize
94,54,22,22.48741214,59.15884279,5.80008623,88.91402689,maize
88,38,20,24.01376306,64.5178893,5.927335361,100.8133219,maize
86,36,21,27.80945245,63.47257419,5.671810297,75.76080225,maize
77,36,24,24.28210284,57.49197884,6.44612218,109.7525539,maize
67,51,16,22.62592153,60.61393195,6.186782739,91.19681903,maize
76,48,19,23.80468238,71.2214698,6.5526245879999995,107.4464776,maize
81,49,21,17.75772525,59.21816985,6.319787907,103.864524,maize
91,55,22,19.56736009,70.61374727,6.521129888,93.76173241,maize
86,37,16,20.41488289,60.88857344,5.959622167,97.2850653,maize
94,54,25,22.30165798,59.3084565,5.828898527000001,64.11387884,maize
88,38,18,24.03094784,65.19912528,5.826324206,102.848335,maize
86,36,17,28.14815994,63.49150942,6.547376915,66.19523489,maize
77,36,20,24.45790262,57.38947965,6.150476352,76.10648457,maize
67,51,15,22.81702197,60.97996732,6.152236258,89.74924667,maize
76,48,23,24.70462024,71.44073819,6.752503746,94.97532552,maize
81,49,16,17.93337062,59.2450221,5.75296438,107.4256962,maize
91,55,18,19.53462027,70.61246369,5.795870389,101.314154,maize
86,37,19,20.19074662,60.91427916,6.017635784,69.92249671,maize
94,54,20,22.33019569,59.27807606,6.664605575,97.02027308,maize
88,38,23,24.04769269,64.33904242,5.769598124,106.2917003,maize
86,36,24,27.947275,63.45685019,6.489069731,91.10368154,maize
77,36,19,24.79499848,57.49836735,6.561054238,77.63610481,maize
67,51,16,22.64649161,60.7724647,5.909493005,82.82348951,maize
76,48,21,25.29534439,71.46747658,5.76194429,109.3143057,maize
81,49,22,18.58652652,59.32930245,6.472772304,93.59320884,maize
91,55,17,20.05899048,70.83005549,6.398504931,88.35276364,maize
86,37,18,21.19243759,60.68217638,5.773022663,100.6773817,maize
